6.449857390173007;0.0	7.4602252749499325;0.0	6.52244091749448;0.0	7.16635623011618;0.0	5.438153203702959;0.0	
6.612312756244827;0.0	7.082014857431307;0.0	6.52583639772053;0.0	5.5426801638774865;0.0	5.205613126441639;0.0	
6.744746691551533;0.0	7.038885720632594;0.0	6.290802723179164;0.0	5.603191753099203;0.0	4.8547219485859365;0.0	
4.764123044991479;0.0	5.064016204537342;0.0	4.631543860020251;0.0	4.6728073357798205;0.0	4.713439985015033;0.0	
8.208519432939049;0.0	9.451597165766898;0.0	7.449719121848852;0.0	6.217071374430643;0.0	5.270591130422875;0.0	
7.4369957895558;0.0	9.239976019837105;0.0	7.814495732678934;0.0	5.466467776160636;0.0	5.861495204531546;0.0	
4.591351409205361;0.0	7.424571195326756;0.0	6.481296074274923;0.0	5.296683088794662;0.0	4.258683781499246;0.0	
4.291837865529719;0.0	6.296176292431488;0.0	4.880407860923158;0.0	4.619443809592901;0.0	4.66256951327815;0.0	
3.0636282220413116;0.0	5.289903684138933;0.0	4.469791918453932;0.0	4.185288348776615;0.0	4.364819783481456;0.0	
5.421828080452564;0.0	6.04250807155669;0.0	6.642397932696572;0.0	6.632452541694183;0.0	6.783898164707396;0.0	
5.634492879174523;0.0	7.871613921475028;0.0	8.648815285159529;0.0	8.416954298482395;0.0	7.4386226067169705;0.0	
5.761832938366778;0.0	9.200287525911698;0.0	9.719788263607137;0.0	8.945294170752685;0.0	9.625373185329336;0.0	
5.908498734719376;0.0	8.988359850983931;0.0	9.742715438216651;0.0	9.018112364261762;0.0	9.953405521185697;0.0	
6.447051542804484;0.0	8.828975733169864;0.0	9.681990092642545;0.0	8.904163007700896;0.0	9.723878261433574;0.0	
6.397342725355266;0.0	8.601066250781857;0.0	9.377637467974173;0.0	8.655815826838056;0.0	9.199470708666006;0.0	
5.8684644138069455;0.0	8.360940379641459;0.0	9.046266998144258;0.0	8.606176859711164;0.0	9.226728018393462;0.0	
7.259039335590643;0.0	7.776567244527354;0.0	8.042062138981938;0.0	7.798868745160374;0.0	8.694386233256497;0.0	
5.882757605527856;0.0	6.3378144353417;0.0	6.5694782076268945;0.0	7.319560165056764;0.0	7.55457169936829;0.0	
4.363774106254005;0.0	6.355330896168604;0.0	6.245149037700877;0.0	6.180731915456404;0.0	7.100656415811591;0.0	
4.660033575609267;0.0	5.581314916063325;0.0	5.325828867263708;0.0	6.154405104310452;0.0	5.938104461722355;0.0	
3.4491148831269482;0.0	5.033680945737902;0.0	4.8561695960115605;0.0	5.149187795310806;0.0	4.534808066802889;0.0	
3.8833733677892606;0.0	4.392420690961994;0.0	4.397659907362539;0.0	4.351305883597475;0.0	4.293474827959959;0.0	
2.7780727705435906;0.0	4.547845617455907;0.0	4.356907293840039;0.0	4.284272560384701;0.0	4.4859763080300565;0.0	
2.7742784580136473;0.0	4.35695107304232;0.0	4.382345562081516;0.0	4.2961815141159425;0.0	4.229883572497982;0.0	
3.1513222810550423;0.0	4.304526103305583;0.0	4.37643834639549;0.0	4.221139252527179;0.0	4.172759590928212;0.0	
2.889016065769867;0.0	4.076988890069792;0.0	4.038193664316325;0.0	4.125660767336303;0.0	4.119300881355589;0.0	
3.3226245528376364;0.0	4.385573730065746;0.0	4.1590874106900575;0.0	4.020067432249683;0.0	4.1180421016044875;0.0	
3.6287789734614213;0.0	4.2234220308779475;0.0	4.044581376593239;0.0	4.1775167330811245;0.0	4.2931408736828125;0.0	
2.460128251859422;0.0	4.167596494215629;0.0	4.158867520494658;0.0	4.112627890471473;0.0	4.121867202560235;0.0	
3.3312272433274006;0.0	4.359766834596599;0.0	3.9325430531053374;0.0	4.163943176546706;0.0	4.102786949277306;0.0	
2.7367101169503054;0.0	4.37650318559468;0.0	4.155784168173676;0.0	4.1348519698030355;0.0	4.114125792494435;0.0	
